0,1
coupon_applied_successfully,Coupon applied successfully
curr_book_cash_amnt,Curr. Book Cash Amnt
curr_book_seat,Curr. Book Seat
curr_book_non_cash_amnt,Curr. Book Non-Cash Amnt
current,Current
customer_id,Customer Id
custom_sms,Custom SMS
data_not_loaded,Data not loaded!
datePickerDialog,DatePickerDialog
device,Device
device_id,Device Id
device_id_copied,Device id copied!
device_metrics,Device metrics :
device_name,Device Name
diesel,Diesel
diesel_added_successfully,Diesel Added Successfully!
dispatch_memo,Dispatch Memo
displaytext,displayText
div_code,Driv Code
draw_pattern,Draw pattern
drop_off,Drop-Off
doc_no_,Doc No:
enable_printing,Enable Printing
end_time,End Time
enable_gps, Enable GPS 
enter_booking_id,Enter Booking Id
enter_coupon_code,Enter coupon code
enter_expense_amount,Enter expense amount!
enter_diesel_litres,Enter diesel litres!
enter_otp_received,Enter OTP received
enter_passenger_mobile,Enter Passenger Mobile
enter_remarks,Enter remarks
error_scanning_qr,Error scanning QR
enter_search_text,Enter search text!
enter_ticket_number,Enter ticket number!
enter_valid_email,Enter valid email!
enter_valid_notes, Enter valid notes! 
error_listening,ERROR LISTENING:
exit,Exit
failed_to_update,Failed to update
msg_fetch_pending_transactions,Fetch - Pending transactions
for_agent_name,For Agent Name:
for_branch_user,For Branch User: 
for_seat, for seat
frieght,Frieght
from_stage,From Stage
fuel,Fuel
full,Full
generate_qr, Generate QR 
get_pass,Get Pass
get_orders,Get orders
hrs,Hrs
Issuer,Issuer
in_bus_bookings,In Bus Bookings
inspector,Inspector
inspector_name,Inspector Name
inspector_report,Inspector Report
insta_booking_seat,Insta Booking - seat 
invalid_data,Invalid data
invalid_qr,Invalid Qr
invalid_qr_code,Invalid QR Code 
item_selected,Item Selected
jour_date,Jour. Date
journey_in_progress,Journey in progress
kms,KMS
last_closed_time,Last closed time
later,Later
liable_for_inspection,LIABLE FOR INSPECTION
litres,litres
loading,Loading…
loading_data,Loading data!
location_settings,Location settings
login_data_sync,Login Data Sync
lugg_conductor,LUGG | Conductor
lugg_passenger,LUGG | Passenger
luggage_amnt,Luggage Amnt
luggage_charge,Luggage Charge
maven_device_id,Maven Device Id
maven_periodic_sync,Maven Periodic Sync
max_lenth_test,MAX LENGTH TEST
min,Min
misc,Misc
misc_penalty_details,Misc Penalty Details
my_button_fragment,MyButtonFragment
nearby_buses,Nearby buses
net_trip_amnt,Net Trip Amnt
net_trip_amount,Net Trip Amount
net_total,Net Total
new_,New
no_cases_booked,No cases booked!
no_coupons_found,No coupons found
no_internet_connection,No Internet connection!
no_network_available,No network available!
no_pass_available,No pass available!
no_section_found,No section found
no_subroutes_found,No subroutes found
no_of_tickets,
no_offline_trips,No offline trips!
no_penalty,No Penalty
no_user_found,No User Found
not_authorised,Not Authorised
not_transferable,NOT TRANSFERABLE
number,Number
o_b_cash_amnt,O.B Cash Amnt
o_b_seat,O.B Seat
o_b_non_cash_amnt,O.B Non Cash Amnt
offline_bkg_cash,Offline Bkg cash
off_bkg_cash_amnt,Off.Bkg Cash Amnt
off_bkg_non_cash_amnt,Off.  Bkg Non Cash Amnt
offline_booking_sync,Offline Booking Sync
offline_bkg_seat,Offline Bkg Seat
offline_data_synced,Offline data synced!
offline_login_sync,Offline Login Sync
offline_luggage_sync,Offline Luggage Sync
offline_penalty_sync,Offline Penalty Sync
offline_penalties_synced,Offline penalties synced!
open_report,Open Report
open_ticket,Open Ticket
open_tickets,Open Tickets
otp_verified_successfully,OTP verified successfully
otp_not_verified,OTP not verified
otp_sent_successfully,OTP sent successfully
otp_validation_fails,OTP validation fails
paid_type,Paid type
pass,Pass
pass_applied,Pass Applied 
pass_discount,Pass Discount
passenger_report,Passenger Report
passenger_seat,Passenger - seat :
passenger_penalty_details,Passenger Penalty Details
payment_fails,Payment fails
penalty_added,Penalty Added
penalty_amnt,Penalty Amnt
penalty_amount,Penalty Amount
penalty_case,Penalty Case
penalty_id,Penalty ID
penalty_report_,Penalty Report - 
penalty_ticket,Penalty Ticket
periodic_sync_job,Periodic Sync Job
periodic_sync_started,Periodic sync started!
pin_validated_successfully,Pin validated successfully
pickup_man,pickupMan
pick_up,Pick-Up
pick_up_change,Pick Up Change
play_services, Play services :
please_enter_amount,Please enter amount
please_select_pickup,Please select pickup !
please_select_seats,Please select seats!!
pnr_name,PNR/Name
pos,POS
primary_mobile_number,Primary mobile number
print_remarks,Print remarks
print_success,Print success
qr_scanning_cancelled,QR scanning cancelled
qty,Qty
quick_view_details,Quick view details
rates,Rates
receiver_no,Receiver No
remark,Remark
remote_pos,Remote POS
report,Report
report_time,ReportTime
search_booking,Search Booking
search_with_name,Search with Name
search_with_pnr,Search with PNR
seat_count,Seat Count
seat_fare,Seat Fare
seat_route,Seat/Route
select_all,Select all
select_coupon,Select coupon
select_coupon_type,Select coupon type
select_ledger,Select ledger
select_one_chart,select one chart
select_pass,Select Pass
select_pickups,Select Pickups
select_provider_bank,Select provider(Bank)
select_qr_provider,Select QR provider
select_qr_type,Select QR Type
select_stage,Select Stage
send_express_checkout,Send Express Checkout
scan_qr_code,Scan QR code
select_services,Select Services
send_gps_link,Send GPS Link
sender_no,Sender No
should_not_happened,Should not happened
sms_gps_link,SMS GPS Link
sms_info,SMS Info
sms_pnr_info,SMS PNR Info
sms_sent,SMS sent!
sms_template_here,sms template here..
stage_name,Stage Name
stage_wise_report,Stage Wise Report
start_recording,Start recording
start_syncing,Start Syncing
start_time,Start Time
stop_recording,Stop recording
stop_syncing,Stop syncing
submit_otp,SUBMIT OTP
sync_job_started,Sync job started!
sync_service,Sync Service
sync_successful,Sync successful
sync_worker,Sync worker
syncing_internet_status,Syncing internet status
terms,Terms
ticket_fare,Ticket Fare
title,Title
tkt_no,Tkt-No
to_stage,To Stage
total_base_fare,Total Base Fare
total_coll,Total Coll
total_coll_amnt,Total Coll Amnt
total_trips,Total Trips
transaction_status,Transaction status
transactionid, transactionid
transaction_failiure,Transaction failiure
transactions_from,transactions from 
trip_end_time,Trip End Time
unable_to_copy,Unable to copy!
update_available,Update available
unknown,UNKNOWN
username, Username :
validate_with_pin,Validate with Pin
verification_status,Verification status
verify,Verify
version_check,Version Check
voucher_no,Voucher No
voucher_based_booking,Voucher based booking
voucher_receipt,Voucher Receipt
warrant,Warrant
way_bill_no,WayBill No
wb_number,WB Number
without_luggage_case,Without Luggage Case
without_ticket_case,Without Ticket Case
worker_cancelled,Worker cancelled
msg_a_booking_is_already_done,A booking is already done against this seequence no..
msg_account_heads_are_not_loaded,Account heads are not loaded!
msg_against_the_mobile_number,against the mobile number :
msg_amount_can_not_be_zero,Amount can not be Zero
msg_amount_to_pay_qr,Amount to pay (Total + QR Charges) = Rs
msg_app_cache_is_being_updated,App cache is being updated and pending data is synced to the server!
msg_app_requires_gps_to_run_change_location,App requires GPS to run! Change the location setting to enable GPS
msg_app_version_is_checked,App version is checked in the background!
msg_arg_multi_scan_enabled,arg_multi_scan_enabled
msg_as_qr_charge_from_customer,as QR charge from customer
msg_app_won_t_work_without_the_permission,App won\'t work without the permission. Grant permission from settings 
msg_account_sub_heads_are_not_loaded,Account sub-heads are not loaded!
msg_bluetooth_connect_permission_granted,Bluetooth connect permission granted!!
msg_boarding_already_done_for_the_pnr,Boarding already done for the PNR.
msg_booking_details_pending_sync,Booking details pending sync!
msg_cached_data_is_being_synced,Cached data is being synced in the background!
msg_cannot_start_seat_route_fare_edit,Cannot start Seat Route Fare Edit
msg_cargo_branch_transfer_receive,Cargo |Branch Transfer Receive
msg_cargo_branch_transfer_received,Cargo | Branch Transfer Received
msg_cargo_cancel_branch_transfer,Cargo | Cancel Branch Transfer
msg_cess_data_not_loaded,Cess data not loaded!
msg_chart_and_arrangement_transfer,Chart and arrangement transfer
msg_consumed_amount_is_less_than_total,Consumed amount is less than the total amount !
msg_concession_pass_not_selected,Concession Pass not selected!!
msg_confirm_pattern_to_unlock,Confirm pattern to unlock
msg_connect_at_least_four_dots,Connect at least 4 dots
msg_customer_id_not_entered,Customer id not entered!!
msg_data_pending_to_upload,Data pending to upload!
msg_data_manager_does_not_exist_in_adapter,DataManager does not exist in adapter
msg_device_not_supported,DeviceNotSupported - Company :
msg_disabled_old_devices_successfully,Disabled old devices successfully!
msg_dropoff_locations_not_loaded,"Dropoff locations not loaded!, try again"
msg_empty_from_city_or_to_city_or_date,Empty from city or to city or date
msg_empty_response_from_server,Empty response from server
msg_empty_route_or_subroute,"Empty route or subroute, try again"
msg_enter_four_digit_pin,Enter 4 digit PIN
msg_enter_litres_in_notes,Enter litres in notes!
msg_enter_otp_sent_on,Enter OTP sent on
msg_enter_otp_sent_to_customer,Enter OTP sent to Customer Mobile No.
msg_enter_passenger_detail_for_sending_sms,Enter passenger detail for sending sms!
msg_enter_passenger_details,Enter passenger details to send link
msg_enter_valid_booking_id,Enter valid booking id to search!
